SKU,Item ID,Publish Status,Product Category,Price,Buy Box Item Price,MSRP,Shipping Weight,WPID,GTIN,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Condition,Product Type,Impressions,Clicks,Added to Cart,Sales Rank,Transactability Score,Buy Box Win %
690251044528,795002894,PUBLISHED,"Beauty, Personal Care, & Hygiene",52.98,51.0,104.0,1.0,2TIMMIU4E00J,690251044528,Premium Body Lotions,"('Home Page', 'Premium Beauty', 'Premium Bath & Body', 'Premium Body Lotions')",Jo Malone,08-28-24,12-31-49,08-25-17,12-18-24,14,4.0,90.2,0.0,12-16-24,New,Body Moisturizers,Very low,Very low,Very low,3979,100,0
717334263796,5810196252,PUBLISHED,"Beauty, Personal Care, & Hygiene",29.02,29.02,-1.0,0.5,5PD87OQ0DA21,1143342637967,Skin Care Sets,"('Home Page', 'Beauty', 'Skin Care', 'Skin Care Sets')",Origins,11-06-24,12-31-49,05-28-24,06-11-24,0,0.0,21.85,0.0,12-16-24,New,Skin Care Sets,Very low,Very low,Very low,667,4,100
773602588756,259423411,PUBLISHED,"Beauty, Personal Care, & Hygiene",18.44,18.44,44.73,0.5,2APEU1K6XYHT,773602588756,Lipstick,"('Home Page', 'Beauty', 'Makeup', 'Lip Makeup', 'Lipstick')",M.A.C,08-27-24,12-31-49,04-22-21,12-17-24,361,4.2,35.53,0.0,12-16-24,New,Lipsticks,Very low,Low,Very low,1478,100,100
P52,5416868284,PUBLISHED,"Beauty, Personal Care, & Hygiene",14.96,14.96,-1.0,0.3,4I45S9M7FJWY,192333029275,Facial Treatments,"('Home Page', 'Beauty', 'Skin Care', 'Facial Serums and Treatments', 'Facial Treatments')",Estee Lauder,08-28-24,12-31-49,12-02-24,06-11-24,0,0.0,24.96,0.0,09-13-24,New,Face Serums,Very low,Very low,Very low,3132,94,100
685428022416,662030810,PUBLISHED,"Beauty, Personal Care, & Hygiene",18.98,17.0,50.57,1.0,5QA6KVHJM7YD,685428022416,Hair Styling Creams,"('Home Page', 'Beauty', 'Hair Care', 'Hair Styling Products', 'Hair Styling Creams')",Bumble and bumble,09-20-24,12-31-49,05-17-17,12-18-24,5,5.0,36.0,0.0,12-16-24,New,Hair Styling Creams,Very low,Low,Very low,351,100,0
716170260730,9402301712,PUBLISHED,"Beauty, Personal Care, & Hygiene",29.99,29.99,-1.0,0.5,4O260FK3N38X,100144437721,Bobbi Brown,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Bobbi Brown')",Bobbi Brown,10-29-24,12-31-49,10-08-24,10-30-24,0,0.0,29.99,0.0,07-11-24,New,Eyebrow Color,Very low,Very low,Very low,-1,100,100
773602656738,5480084165,PUBLISHED,"Beauty, Personal Care, & Hygiene",24.0,24.0,-1.0,0.5,2WJVS4RTAJ1V,773602656738,All Makeup,"('Home Page', 'Beauty', 'Makeup', 'All Makeup')",M.A.C,07-11-24,12-31-49,04-15-24,07-11-24,0,0.0,44.88,0.0,12-16-24,New,Foundation Makeup,Very low,Very low,Very low,2695,0,100
18084029367,729262296,PUBLISHED,"Beauty, Personal Care, & Hygiene",29.95,29.45,34.0,0.5,2YC0IX5WUDI8,18084029367,Scalp Masks,"('Home Page', 'Beauty', 'Hair Care', 'Hair Treatments', 'Scalp Scrubs & Treatments', 'Scalp Masks')",Aveda,10-15-24,12-31-49,12-18-21,12-16-24,0,0.0,18.95,0.0,12-16-24,New,Hair Masks,Very low,Very low,Very low,2287,100,0
20714004507,1515416511,PUBLISHED,"Beauty, Personal Care, & Hygiene",18.99,19.99,-1.0,0.5,6HLMQ03BY0ZM,368180345480,Clinique Lip Stick,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Clinique', 'Clinique Lip Stick')",Clinique,01-20-24,12-31-49,07-25-22,08-12-24,14,4.9,25.0,0.0,12-15-24,New,Lipsticks,Very low,Low,Very low,321,0,0
716170074993,918068063,PUBLISHED,"Beauty, Personal Care, & Hygiene",27.0,51.41,64.54,0.3,1OFCMFVOMWDB,716170074993,Premium Foundation,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Face', 'Premium Foundation')",Bobbi Brown,07-11-24,12-31-49,02-22-18,11-12-24,1,5.0,40.75,0.0,12-15-24,New,Foundation Makeup,Very low,High,Very low,452,0,0
773602609970,1905622695,PUBLISHED,"Beauty, Personal Care, & Hygiene",15.29,17.0,46.23,0.3,2P8AJ6XNPEXJ,773602609970,Lipstick,"('Home Page', 'Beauty', 'Makeup', 'Lip Makeup', 'Lipstick')",M.A.C,08-27-24,12-31-49,03-08-22,12-18-24,109,4.7,18.9,0.0,12-13-24,New,Lipsticks,Very low,High,Very low,288,80,0
887167519190,1685568183,PUBLISHED,"Beauty, Personal Care, & Hygiene",24.0,24.99,-1.0,0.3,3XKJRAZXKV8N,887167519190,Estee Lauder Lipstick,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Estee Lauder', 'Estee Lauder Lipstick')",Estee Lauder,11-25-24,12-31-49,07-28-22,11-25-24,0,0.0,22.43,0.0,12-09-24,New,Lipsticks,Very low,Very low,Very low,244,0,0
CL-MSHIL-67-41,2385977243,PUBLISHED,"Beauty, Personal Care, & Hygiene",12.88,9.9,39.0,0.418,1NGETMR3JSS4,192333105207,Clinique Moisturiser,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Clinique', 'Clinique Moisturiser')",Clinique,04-08-24,12-31-49,05-24-23,12-16-24,1,1.0,44.0,0.0,12-16-24,New,Facial Moisturizers,Very low,Very low,Very low,2114,100,0
20714404628,155088437,PUBLISHED,"Beauty, Personal Care, & Hygiene",19.0,14.94,39.0,0.3,1ACVGEMF1APB,20714404628,Premium Foundation,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Face', 'Premium Foundation')",Clinique,10-10-24,12-31-49,08-19-16,12-17-24,2216,4.5,39.0,0.0,12-16-24,New,Foundation Makeup,Very low,Medium,Very low,1200,100,0
651986013630,6833354409,PUBLISHED,"Beauty, Personal Care, & Hygiene",34.5,34.4,-1.0,1.0,165HMAHEFNJ2,358406514257,Face Makeup Palette,"('Home Page', 'Beauty', 'Makeup', 'Makeup Sets', 'Makeup Palettes', 'Face Makeup Palette')",Too Faced,08-27-24,12-31-49,06-21-24,10-12-24,0,0.0,35.0,0.0,08-09-24,New,Makeup Palettes,Very low,Low,Very low,115,100,0
7612491180012,963791436,PUBLISHED,"Beauty, Personal Care, & Hygiene",59.59,59.59,-1.0,0.5,6W8677ZULY6E,7612491180012,UNNAV,"('UNNAV',)",La Colline,11-14-24,12-31-49,08-22-21,11-14-24,0,0.0,74.49,0.0,12-12-24,New,Facial Cleansers,Very low,High,Very low,-1,100,100
773602154500,363795995,PUBLISHED,"Beauty, Personal Care, & Hygiene",35.0,41.6,39.0,0.3,1G1RWM9ED5NG,773602154500,Premium Foundation,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Face', 'Premium Foundation')",M.A.C,07-11-24,12-31-49,09-08-20,12-15-24,1,5.0,34.95,0.0,11-19-24,New,Foundation Makeup,Very low,Very low,Very low,2567,11,0
773602388493,720003871,PUBLISHED,"Beauty, Personal Care, & Hygiene",18.35,14.98,17.93,0.3,3NEXI5UPX4RQ,773602388493,Premium Lipstick,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Lips', 'Premium Lipstick')",M.A.C,08-27-24,12-31-49,06-23-18,05-12-24,1,1.0,17.48,0.0,10-24-24,New,Lipsticks,Very low,Very low,Very low,3926,100,0
887167519169,395417319,PUBLISHED,"Beauty, Personal Care, & Hygiene",20.75,20.75,52.99,0.2,149DLP26MFN5,887167519169,Estee Lauder Lipstick,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Estee Lauder', 'Estee Lauder Lipstick')",Estee Lauder,09-27-24,12-31-49,06-04-22,04-12-24,0,0.0,19.37,0.0,09-23-24,New,Lipsticks,Very low,Very low,Very low,244,0,0
KATZINCELLDERMVIETONOILMIST,2863208609,PUBLISHED,"Beauty, Personal Care, & Hygiene",35.0,33.0,-1.0,0.15,26CJHE2716UT,655255918435,Face Toner,"('Home Page', 'Beauty', 'Skin Care', 'Face Cleansers', 'Face Toners', 'Face Toner')",INCELLDERM,10-14-24,12-31-49,09-26-23,12-14-24,0,0.0,28.5,0.0,12-15-24,New,Facial Toners & Astringents,Very low,Medium,Very low,506,100,0
176170079431,143481225,PUBLISHED,"Beauty, Personal Care, & Hygiene",47.0,43.0,94.88,0.5,1ZZE0DVTGMGG,716170079431,Premium Eye Cream and Treatments,"('Home Page', 'Premium Beauty', 'Premium Skincare', 'Premium Eye Cream and Treatments')",Bobbi Brown,08-30-24,12-31-49,07-12-16,12-18-24,0,0.0,44.99,0.0,12-16-24,New,Eye Creams & Serums,Very low,High,Very low,840,100,0
716170064819,357834199,PUBLISHED,"Beauty, Personal Care, & Hygiene",40.94,29.99,50.0,1.0,50GCGUCBZACI,716170064819,Premium Foundation,"('Home Page', 'Premium Beauty', 'Premium Makeup', 'Premium Face', 'Premium Foundation')",Bobbi Brown,09-09-24,12-31-49,12-29-16,03-12-24,1,5.0,48.0,0.0,12-14-24,New,Foundation Makeup,Very low,High,Very low,452,0,0
716170293080,5216855444,PUBLISHED,"Beauty, Personal Care, & Hygiene",27.0,27.0,25.19,0.5,5D7FVRWGY1LZ,716170293080,Makeup Sets,"('Home Page', 'Beauty', 'Makeup', 'Makeup Sets', 'Makeup Sets')",Bobbi Brown,10-31-24,12-31-49,11-19-23,08-11-24,0,0.0,21.86,0.0,10-09-24,New,Makeup Sets,Very low,Very low,Very low,1047,100,100
773602672530,2890503576,PUBLISHED,"Beauty, Personal Care, & Hygiene",16.64,16.64,-1.0,0.5,3RTP6K576I0O,773602672530,Lipstick,"('Home Page', 'Beauty', 'Makeup', 'Lip Makeup', 'Lipstick')",M.A.C,08-28-24,12-31-49,08-28-23,12-18-24,0,0.0,17.5,0.0,12-16-24,New,Lipsticks,Very low,Medium,Very low,-1,100,100
